name,ropensci_category,ropenscilabs
auk,data-access,FALSE
credentials,scalereprod,FALSE
gert,scalereprod,FALSE
roblog,http-tools,TRUE
rodev,scalereprod,FALSE
treeio,data-tools,FALSE
arresteddev,NA,TRUE
bindertools,scalereprod,TRUE
changes,scalereprod,TRUE
checkers,scalereprod,TRUE
circle,scalereprod,TRUE
colorpiler,data-tools,TRUE
convertr,data-tools,TRUE
cricketdata,data-access,TRUE
datapkg,data-tools,TRUE
datasauce,data-tools,TRUE
dataspice,data-tools,TRUE
datastorr,databases,TRUE
decapitated,http-tools,TRUE
defender,security,TRUE
dirdf,data-tools,TRUE
gendercodeR,data-analysis,TRUE
ghrecipes,data-access,TRUE
jobstatus,scalereprod,TRUE
keybase,security,TRUE
mchtoolbox,scalereprod,TRUE
middlechild,security,TRUE
MonetDBLite,databases,TRUE
notary,security,TRUE
ochRe,data-visualization,TRUE
ozbabynames,data-access,TRUE
ozflights,data-access,TRUE
packagemetrics,scalereprod,TRUE
pkginspector,scalereprod,TRUE
pkgreviewr,scalereprod,TRUE
ponyexpress,scalereprod,TRUE
qcoder,data-extraction,TRUE
reviewer,scalereprod,TRUE
ridb,data-access,TRUE
riodata,data-access,TRUE
roomba,data-extraction,TRUE
ropsec,security,TRUE
scientist,scalereprod,TRUE
simpletextr,data-analysis,TRUE
snowball,scalereprod,TRUE
sparqldsl,databases,TRUE
spenv,data-access,TRUE
splister,data-tools,TRUE
spplist,data-access,TRUE
spplit,data-access,TRUE
taxspell,taxspell,TRUE
testevil,security,TRUE
testrmd,scalereprod,TRUE
tinkr,scalereprod,TRUE
tl,NA,TRUE
trackmd,scalereprod,TRUE
travis,scalereprod,TRUE
addressable,geospatial,FALSE
antanym,data-access,FALSE
antiword,literature,FALSE
AntWeb,data-access,FALSE
arkdb,scalereprod,FALSE
aRxiv,literature,FALSE
assertr,scalereprod,FALSE
av,image-processing,FALSE
babette,data-tools,FALSE
baRcodeR,scalereprod,FALSE
BaseSet,data-tools,FALSE
beastier,data-tools,FALSE
beautier,data-tools,FALSE
bib2df,data-extraction,FALSE
bikedata,data-access,FALSE
binman,http-tools,FALSE
biomartr,data-access,FALSE
bittrex,data-access,FALSE
bold,data-access,FALSE
bomrang,data-analysis,FALSE
bowerbird,data-access,FALSE
brranching,data-access,FALSE
c14bazAAR,data-access,FALSE
camsRad,data-access,FALSE
ccafs,data-access,FALSE
cchecks,scalereprod,FALSE
cde,data-access,FALSE
charlatan,data-tools,FALSE
chirps,data-access,FALSE
chlorpromazineR,data-tools,FALSE
chromer,data-access,FALSE
citecorp,literature,FALSE
citesdb,data-access,FALSE
ckanr,databases,FALSE
cld2,literature,FALSE
cld3,literature,FALSE
cleanEHR,data-tools,FALSE
clifro,data-access,FALSE
clock,scalereprod,FALSE
codemetar,data-publication,FALSE
colocr,data-extraction,FALSE
colpluz,data-access,FALSE
comtradr,data-access,FALSE
conditionz,scalereprod,FALSE
CoordinateCleaner,data-tools,FALSE
cRegulome,data-access,FALSE
crminer,literature,FALSE
crul,http-tools,FALSE
cyphr,security,FALSE
datapack,data-tools,FALSE
DataPackageR,scalereprod,FALSE
DataSpaceR,data-access,FALSE
dbhydroR,data-access,FALSE
dbparser,data-access,FALSE
dittodb,databases,FALSE
DoOR.data,data-access,FALSE
DoOR.functions,data-access,FALSE
drake,scalereprod,FALSE
ecoengine,data-access,FALSE
eia,data-access,FALSE
elastic,databases,FALSE
EML,data-publication,FALSE
emld,data-extraction,FALSE
EndoMineR,data-access,FALSE
epubr,data-access,FALSE
essurvey,data-access,FALSE
europepmc,literature,FALSE
ezknitr,scalereprod,FALSE
fauxpas,http-tools,FALSE
FedData,data-access,FALSE
finch,data-tools,FALSE
fingertipsR,data-access,FALSE
ftdoi,literature,FALSE
fulltext,literature,FALSE
gender,data-access,FALSE
genderdata,data-access,FALSE
geoaxe,geospatial,FALSE
geojson,geospatial,FALSE
geojsonio,geospatial,FALSE
geojsonlint,geospatial,FALSE
geonames,geospatial,FALSE
geoops,geospatial,FALSE
getCRUCLdata,data-access,FALSE
getlandsat,data-access,FALSE
ghql,http-tools,FALSE
gistr,scalereprod,FALSE
git2r,scalereprod,FALSE
git2rdata,data-tools,FALSE
gitignore,scalereprod,FALSE
googleLanguageR,data-tools,FALSE
grainchanger,geospatial,FALSE
graphql,http-tools,FALSE
GSODR,data-access,FALSE
gtfsr,data-access,FALSE
gutenbergr,data-access,FALSE
handlr,literature,FALSE
hathi,data-access,FALSE
hddtools,data-access,FALSE
helminthR,data-access,FALSE
historydata,data-access,FALSE
hoardr,scalereprod,FALSE
hunspell,data-tools,FALSE
hydroscoper,data-access,FALSE
IEEER,literature,FALSE
iheatmapr,data-visualization,FALSE
ijtiff,image-processing,FALSE
infx,data-access,FALSE
internetarchive,data-access,FALSE
isdparser,data-access,FALSE
jaod,data-access,FALSE
jenkins,scalereprod,FALSE
jqr,data-tools,FALSE
jsonld,data-tools,FALSE
jsonvalidate,data-tools,FALSE
jstor,literature,FALSE
landscapetools,geospatial,FALSE
lawn,geospatial,FALSE
lightr,data-extraction,FALSE
lingtypology,literature,FALSE
magick,image-processing,FALSE
mapr,geospatial,FALSE
mapscanner,geospatial,FALSE
mauricer,data-tools,FALSE
medrxivr,literature,FALSE
microdemic,literature,FALSE
MODISTools,data-access,FALSE
MODIStsp,data-access,FALSE
monkeylearn,data-access,FALSE
mregions,geospatial,FALSE
MtreeRing,image-processing,FALSE
musemeta,data-access,FALSE
mutant,scalereprod,FALSE
namext,taxonomy,FALSE
nasapower,data-access,FALSE
natserv,data-access,FALSE
nbaR,data-access,FALSE
neotoma,data-access,FALSE
NLMR,geospatial,FALSE
nlrx,scalereprod,FALSE
nodbi,databases,FALSE
nomisr,data-access,FALSE
oai,literature,FALSE
onekp,data-access,FALSE
opencage,geospatial,FALSE
opencontext,data-access,FALSE
opencv,image-processing,FALSE
opentripplanner,geospatial,FALSE
originr,data-access,FALSE
osfr,scalereprod,FALSE
osmdata,geospatial,FALSE
osmplotr,geospatial,FALSE
ots,data-access,FALSE
outcomerate,scalereprod,FALSE
outsider,scalereprod,FALSE
outsider.base,scalereprod,FALSE
outsider.devtools,scalereprod,FALSE
paleobioDB,data-access,FALSE
pangaear,data-access,FALSE
parzer,geospatial,FALSE
patentsview,literature,FALSE
pdftools,literature,FALSE
photosearcher,data-access,FALSE
phylocomr,data-analysis,FALSE
